,tweet_id,timestamp,favorites,retweets,text,rating,name,prediction,confidence,dog_or_not,doggo,floofer,pupper,puppo,source
0,892420643555336193,2017-08-01 16:23:56+00:00,39467,8853,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut.,1.3,Phineas,Orange,0.0970486,False,None,None,None,None,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
1,892177421306343426,2017-08-01 00:17:27+00:00,33819,6514,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit.",1.3,Tilly,Chihuahua,0.323581,True,None,None,None,None,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
2,891815181378084864,2017-07-31 00:18:03+00:00,25461,4328,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike.,1.2,Archie,Chihuahua,0.716012,True,None,None,None,None,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
3,891689557279858688,2017-07-30 15:58:51+00:00,42908,8964,This is Darla. She commenced a snooze mid meal.,1.3,Darla,Paper_towel,0.17027799999999998,False,None,None,None,None,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
4,891327558926688256,2017-07-29 16:00:24+00:00,41048,9774,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such.",1.2,Franklin,Basset,0.555712,True,None,None,None,None,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
5,891087950875897856,2017-07-29 00:08:17+00:00,20562,3261,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking.,1.3,,Chesapeake_bay_retriever,0.425595,True,None,None,None,None,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
6,890971913173991426,2017-07-28 16:27:12+00:00,12041,2158,Meet Jax. He enjoys ice cream so much he gets nervous around it.,1.3,Jax,Appenzeller,0.34170300000000003,True,None,None,None,None,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
7,890729181411237888,2017-07-28 00:22:40+00:00,56848,16716,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy.,1.3,,Pomeranian,0.566142,True,None,None,None,None,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
8,890609185150312448,2017-07-27 16:25:51+00:00,28226,4429,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet.,1.3,Zoey,Irish_terrier,0.487574,True,None,None,None,None,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
9,890240255349198849,2017-07-26 15:59:51+00:00,32467,7711,This is Cassie. She is a college pup. Studying international doggo communication and stick theory.,1.4,Cassie,Pembroke,0.511319,True,doggo,None,None,None,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
10,890006608113172480,2017-07-26 00:31:25+00:00,31166,7624,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic.,1.3,Koda,Samoyed,0.957979,True,None,None,None,None,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
11,889880896479866881,2017-07-25 16:11:53+00:00,28268,5156,This is Bruno. He is a service shark. Only gets out of the water to assist you.,1.3,Bruno,French_bulldog,0.377417,True,None,None,None,None,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
12,889665388333682689,2017-07-25 01:55:32+00:00,38818,8538,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her.,1.3,,Pembroke,0.966327,True,None,None,None,puppo,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
13,889638837579907072,2017-07-25 00:10:02+00:00,27672,4735,This is Ted. He does his best. Sometimes that's not enough. But it's ok.,1.2,Ted,French_bulldog,0.99165,True,None,None,None,None,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
14,889531135344209921,2017-07-24 17:02:04+00:00,15359,2321,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only.,1.3,Stuart,Golden_retriever,0.953442,True,None,None,None,puppo,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
15,889278841981685760,2017-07-24 00:19:32+00:00,25652,5637,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim.,1.3,Oliver,Whippet,0.626152,True,None,None,None,None,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
16,888917238123831296,2017-07-23 00:22:39+00:00,29611,4709,This is Jim. He found a fren. Taught him how to sit like the good boys.,1.2,Jim,Golden_retriever,0.714719,True,None,None,None,None,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
17,888804989199671297,2017-07-22 16:56:37+00:00,26080,4559,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it.,1.3,Zeke,Golden_retriever,0.46976,True,None,None,None,None,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
